poetID,value,value,sourceNpv,sourceNpv,ccy,maturityDate,ttm,maID,gpName,notional
10292658,331.00290590619505,318.329676990903,370547.1681,368031.2403,EUR,2020-08-28,5.163586,DRV-15012853-96,RVFUERTH,2000000.0000
10292809,1949.3837015935605,1901.5723806146038,2017727.5963,2005053.5831,EUR,2020-08-31,5.171800,DRV-20000026-04,RBWESTPFALZ,10000000.0000
10294032,214.2922815695534,210.655377084057,473926.5385,472137.8660,EUR,2018-05-28,2.910335,DRV-20000220-00,VBWILKELREM,5000000.0000
10297481,2949.167514489916,2916.9948713583817,6319867.8824,6299418.5242,EUR,2018-08-31,3.170431,DRV-21000276-05,MUENCHNERBK,50000000.0000
10303388,0.9488018742826949,0.9289844476180303,19442.0007,19431.5375,EUR,2015-12-01,0.421629,DRV-15013854-01,VBPADERBORN,1124842.0000
10303415,0.6479146408360814,0.6358333983399491,10570.6371,16009.2552,EUR,2015-12-30,0.501026,DRV-15013854-01,VBPADERBORN,629863.0000
10320788,633.901748725078,626.6342129155054,31385.6619,31260.6573,EUR,2019-10-01,4.254620,DRV-22028418-07,KHGEIGPAPAAL,450000.0000
10328500,1013.5384446992344,985.1226427596205,1561237.3505,1553074.3510,EUR,2019-08-09,4.109514,DRV-00005223-00,BABEAMBKKARL,10000000.0000
10335084,15.518886427896705,17.902425107652373,7830.1852,10425.7408,EUR,2016-12-30,1.503080,DRV-21040957-07,MEGAMALERHBG,321460.0000
10335988,1481.3821709519896,1545.0890324087175,-3659284.4311,-3634594.4978,EUR,2029-09-11,14.201232,DRV-20000249-04,RBMITTELHAAR,10000000.0000
10336027,72951.43157576773,68388.89227927553,5027767.2010,5017446.5989,EUR,2039-09-12,24.202600,DRV-20000249-04,RBMITTELHAAR,10000000.0000
10338908,0.0,0.0,196678.2601,192423.4653,USD,2015-09-07,0.188911,10338908,CONWAYACCNYK,1855803.9321
10342021,4713.807793208707,4812.492227496408,-18042680.6530,-17966784.5224,EUR,2034-10-16,19.296372,DRV-15012659-09,HHWOHNBAUHBG,40000000.0000
