runID,calcID,calcSubID,useGpu,productType,environment,model,hdbDate,version,state,filename,arg1,poetID,hostname,uname,timeout,cost,restartCnt,startTS,updateTS,cpuSeconds
3585076,15,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8318944,dfhiasiexp204,xnmiex15,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:12.193,6.77
3585076,16,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8364741,dfriasiexp223,xnmiex11,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:12.976,7.38
3585076,17,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8529863,dfhiasiexp204,xnmiex6,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:12.886,6.21
3585076,18,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:9499497,dfriasiexp223,xnmiex16,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:39.896,33.34
3585076,19,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:9626843,dfriasiexp223,xnmiex6,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:13.946,7.19
3585076,20,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:15269499,dfhiasiexp204,xnmiex9,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:30:04.48,57.72
3585076,21,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:5999009,dfriasiexp239,xnmiex11,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:16.9,10.05
3585076,22,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:6014454,dfhiasiexp204,xnmiex2,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:12.703,5.57
3585076,23,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:6125623,dfriasiexp239,xnmiex14,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:12.766,5.15
3585076,24,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:3717168,dfhiasiexp204,xnmiex5,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:18.88,9.87
3585076,25,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:7901933,dfhiasiexp204,xnmiex12,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:14.993,5.19
3585076,26,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8427954,dfriasiexp239,xnmiex2,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:18.97,8.10
3585076,27,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8427994,dfhiasiexp204,xnmiex7,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:18.95,7.38
3585076,28,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8428021,dfhiasiexp204,xnmiex1,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:18.956,6.79
3585076,29,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8531860,dfhiasiexp204,xnmiex15,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:17.386,5.15
3585076,30,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8574295,dfhiasiexp204,xnmiex2,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:17.91,5.16
3585076,31,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8574484,dfriasiexp239,xnmiex14,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:17.756,4.90
3585076,32,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8575175,dfhiasiexp204,xnmiex6,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:18.303,5.38
3585076,33,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:8575624,dfhiasiexp204,xnmiex16,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:24.196,11.25
3585076,34,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:9598814,dfriasiexp223,xnmiex11,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:19.55,6.49
3585076,35,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:477018,dfriasiexp223,xnmiex6,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:26.67,12.60
3585076,36,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:531757,dfhiasiexp204,xnmiex12,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:22.966,7.92
3585076,37,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:585541,dfhiasiexp204,xnmiex13,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:24.99,8.46
3585076,38,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:610981,dfhiasiexp204,xnmiex10,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:26.503,9.56
3585076,39,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:611143,dfriasiexp239,xnmiex11,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:26.69,9.66
3585076,40,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:690594,dfhiasiexp204,xnmiex15,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:26.376,8.92
3585076,41,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:752924,dfriasiexp239,xnmiex14,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:34.246,16.38
3585076,42,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:6140898,dfhiasiexp204,xnmiex2,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:23.123,5.16
3585076,43,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:6141088,dfriasiexp305,xnmiex8,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:26.7,7.43
3585076,44,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:7488352,dfriasiexp305,xnmiex5,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:27.923,8.36
